OBJECTID,longitude,latitude
1,-114.0391731,50.99415666
2,-114.1201585,51.0086642
3,-113.9757848,50.90390766
4,-113.9292702,50.97964024
5,-114.0194287,51.04885242
6,-113.9352428,50.95007302
7,-114.0713497,51.12513262
8,-114.0052562,51.01500129
9,-114.008612,51.0370351
10,-114.0962515,50.98813665
11,-114.0250178,51.00808698
12,-114.0285513,51.06737989
13,-114.1184683,51.05721795
14,-114.0967047,50.96149881
15,-113.9714612,51.12529379
16,-113.9205255,51.09523147
17,-114.0285513,51.06737989
18,-114.083916,50.99462776
19,-113.9874416,51.0888531
20,-114.036222,50.97058944
21,-114.120805,51.03005304
22,-113.9982116,51.08119797
23,-114.1185313,50.96136247
24,-114.0012767,50.95379913
25,-114.11296,51.03821412
26,-114.0848869,50.96344712
27,-114.2312863,51.12622856
28,-113.9489534,50.91009689
29,-114.0725232,50.97962257
30,-113.9583421,50.91831656
31,-114.0638046,50.99384143
32,-114.0715106,51.09557532
33,-114.0625291,51.06155731
34,-114.1777388,51.11143458
35,-114.1165571,51.09686166
36,-114.04709,51.10692949
37,-114.0486041,51.00207364
38,-114.1668448,51.12063634
39,-114.0492872,51.00141914
40,-114.0859755,50.95059162
41,-114.0693934,51.15166737
42,-114.0901174,51.14172981
43,-114.0950956,50.97206251
44,-114.0553416,50.90653139
45,-114.0770583,50.99460153
46,-114.0391731,50.99415666
47,-114.0391731,50.99415666
48,-114.0026632,51.04562799
49,-114.0578415,51.04918996
50,-114.0855588,51.06698495
51,-114.1659241,51.10453231
52,-114.1985463,51.12407123
53,-114.1184861,50.94129806
54,-113.9918752,51.0668379
55,-114.2032409,51.11968379
56,-113.9633108,51.06710442
57,-114.2343056,51.14876055
58,-113.9703615,51.12675771
59,-114.0140245,51.0670368
60,-114.1210366,51.00107263
61,-113.9821809,51.09600925
62,-114.0386328,50.99393754
63,-113.9579465,50.93313286
64,-114.0521544,50.94811103
65,-114.0483314,51.0668828
66,-114.1008159,51.09119486
67,-114.0485878,51.00079125
68,-114.1665059,51.03928505
69,-114.0717416,50.96436625
70,-113.9590558,50.99903908
71,-113.9477012,51.11412541
72,-114.1015958,50.99638926
73,-114.1411526,51.01474572
74,-114.036222,50.97058944
75,-114.11296,51.03821412
76,-114.0391731,50.99415666
77,-114.0716089,51.08731522
78,-114.083142,50.98778343
79,-113.9918202,51.0815511
80,-113.997969,51.03781966
81,-114.0391731,50.99415666
82,-114.0716793,50.994754
83,-114.0301986,51.08531118
84,-114.1703496,51.1518055
85,-114.140277,50.90663189
86,-114.0436198,51.04383187
87,-114.072037,50.99442765
88,-114.0653004,51.04845921
89,-114.036222,50.97058949
90,-114.1271389,51.08221923
91,-114.0159166,50.98054976
92,-114.2070783,51.12555573
93,-114.1526799,51.08152828
94,-114.0625032,51.08150938
95,-114.1642763,51.01788244
96,-114.008612,51.0370351
97,-114.068854,50.91583748
98,-114.0301126,51.02005338
99,-114.1015958,50.99638926
100,-114.0685423,50.97775713
101,-114.0725232,50.97962257
102,-114.1479345,51.1526995
103,-114.0702465,51.04764484
104,-113.9584461,51.06002276
105,-113.9697838,51.15094583
106,-114.083318,51.09731626
107,-113.9590553,51.00882578
108,-114.0052562,51.01500137
109,-114.0478139,51.09614752
110,-114.0052562,51.01500137
111,-114.0507881,51.0668704
112,-114.006865,51.04169206
113,-113.9756016,50.95053439
114,-114.0770583,50.99460153
115,-114.0391731,50.99415666
116,-114.0988302,51.17216861
117,-114.0285513,51.06737989
118,-114.0516855,51.05093755
119,-114.0709984,50.9609941
120,-113.9816828,51.03777591
121,-114.1105199,50.90665477
